Math Question,Chat GPT Answer(str),Chat GPT Answer(int),Correct Answer,Was it correct?,Was it prompted?
What's 3+9+6+9+1+3+9+6+1+10?,The sum of 3+9+6+9+1+3+9+6+1+10 is 57.,57,57,True,True
What's 7+4+5+7+7+1+8+6+3+10+8+3+8+7?,84,84,84,True,False
What's 6+6+1+4+3+5+3+6+4+4+6+5?,The sum of 6+6+1+4+3+5+3+6+4+4+6+5 is 53.,53,53,True,True
What's 3+3+2+5+7+1+1+5+2+2?,31,31,31,True,False
What's 6+1+6+6+7+8+3+3+8+7+7+7+8?,The sum of those numbers is 79.,79,77,False,True
What's 3+1+1+10+10+10+8+9+4+2+1+7+1?,68,68,67,False,False
What's 8+4+3+3+4+6+1+8+9+1+2+5+8?,The sum of 8+4+3+3+4+6+1+8+9+1+2+5+8 is 62.,62,62,True,True
What's 7+1+7+9+2+9+1+2+1+10?,49,49,49,True,False
What's 7+7+6+6+10+1+4+5+10+2?,The sum of 7+7+6+6+10+1+4+5+10+2 is 58.,58,58,True,True
What's 2+7+7+5+9+10+8+7+8+8?,73,73,71,False,False
What's 9+4+4+4+2+8+7+3+9+6+8+9+1+7?,The sum of 9+4+4+4+2+8+7+3+9+6+8+9+1+7 is 81.,81,81,True,True
What's 7+10+5+9+9+2+7+4+4+4+2+2+10+2+9?,84,84,86,False,False
What's 1+4+3+4+9+1+3+1+6+7+9?,The sum of 1+4+3+4+9+1+3+1+6+7+9 is 48.,48,48,True,True
What's 8+3+5+10+7+9+3+3+4+3+6+2+7?,70,70,70,True,False
What's 7+6+3+9+8+10+10+8+4+8+9?,The sum of 7+6+3+9+8+10+10+8+4+8+9 is 82.,82,82,True,True
What's 8+7+7+3+1+7+9+5+10+3+3?,63,63,63,True,False
What's 9+10+7+7+3+6+9+10+1+1+8+9+3?,The sum of those numbers is 83.,83,83,True,True
What's 10+5+7+8+4+7+6+9+1+8+10?,75,75,75,True,False
What's 3+4+1+3+2+5+7+7+5+9?,The sum of 3+4+1+3+2+5+7+7+5+9 is 46.,46,46,True,True
What's 10+6+7+9+1+7+1+8+10+2+9+4+8?,82,82,82,True,False
What's 5+8+8+5+4+5+6+4+2+8+7+9+4+1+9?,The sum of those numbers is 90.,90,85,False,True
What's 8+2+6+4+9+4+7+9+3+10+4+3?,69,69,69,True,False
What's 9+7+8+10+4+3+5+3+9+2+7?,The sum of 9+7+8+10+4+3+5+3+9+2+7 is 67.,67,67,True,True
What's 7+10+7+6+2+2+5+5+6+3+1+6+7+2?,69,69,69,True,False
What's 4+6+9+9+1+3+10+7+4+4+7+2+2+3?,The sum of those numbers is 69.,69,71,False,True
What's 6+7+1+2+6+4+10+3+5+8+7+5+5?,70,70,69,False,False
What's 1+7+5+4+10+4+2+7+5+5+9+5?,The sum of those numbers is 64.,64,64,True,True
What's 8+6+9+9+5+3+5+6+5+8+5+9+2+7?,92,92,87,False,False
What's 4+3+8+2+10+6+9+7+9+3+7?,The sum of 4+3+8+2+10+6+9+7+9+3+7 is 68.,68,68,True,True
What's 4+3+2+4+1+9+9+10+10+7?,49,49,59,False,False
What's 5+9+3+5+1+3+4+10+1+6+3+6+1+1+4?,The sum of those numbers is 62.,62,62,True,True
What's 9+6+6+5+1+2+2+3+6+9+1?,50,50,50,True,False
What's 5+10+3+5+5+3+9+2+2+10+7?,The sum of those numbers is 61.,61,61,True,True
What's 4+4+2+8+9+9+9+9+6+6?,56,56,66,False,False
What's 7+4+7+2+1+8+1+8+8+3+7+2+6+5?,The sum of 7+4+7+2+1+8+1+8+8+3+7+2+6+5 is 69.,69,69,True,True
What's 6+7+3+1+6+5+7+5+7+1+8?,57,57,56,False,False
What's 10+10+7+8+2+7+6+8+4+4+10+4?,The sum of those numbers is 80.,80,80,True,True
What's 9+10+6+10+7+1+5+4+6+6+2+8?,74,74,74,True,False
What's 1+7+8+6+1+6+3+2+7+3+1+8+7+4?,The sum of those numbers is 64.,64,64,True,True
What's 3+1+4+5+7+7+2+7+3+1+3+7+2+8?,60,60,60,True,False
What's 9+9+2+10+3+4+10+9+2+5+1+10+10+1+1?,The sum of those numbers is 86.,86,86,True,True
What's 10+2+4+3+8+1+5+6+9+7+1+7?,63,63,63,True,False
What's 3+1+7+8+9+6+3+8+10+10+4+3+8+3?,The sum of those numbers is 83.,83,83,True,True
What's 2+1+5+2+8+6+3+1+2+7+2+9+10+8?,66,66,66,True,False
What's 1+10+6+8+9+4+8+8+4+10+10+2+4+1?,The sum of those numbers is 85.,85,85,True,True
What's 4+9+10+7+10+8+1+6+5+7+7?,74,74,74,True,False
What's 2+9+3+4+8+7+4+1+2+7?,The sum of 2+9+3+4+8+7+4+1+2+7 is 47.,47,47,True,True
What's 3+9+5+9+8+8+7+10+3+6+8+10+3?,89,89,89,True,False
What's 6+2+6+2+10+10+3+7+6+4+4+9+8+6?,The sum of all those numbers is 83.,83,83,True,True
What's 5+10+3+3+3+1+5+8+9+1?,The sum of 5+10+3+3+3+1+5+8+9+1 is 38.,38,48,False,False
What's 1+5+2+4+2+1+2+1+7+7+2?,The sum of 1+5+2+4+2+1+2+1+7+7+2 is 34.,34,34,True,True
What's 7+9+7+3+6+9+6+10+6+4+3+7+5+4?,86,86,86,True,False
What's 9+9+5+2+4+9+2+7+7+10?,The sum of 9+9+5+2+4+9+2+7+7+10 is 64.,64,64,True,True
What's 10+8+1+8+1+8+3+3+6+5+3+1+7+9+8?,70,70,81,False,False
What's 1+5+10+10+7+3+8+10+2+8?,The sum of 1+5+10+10+7+3+8+10+2+8 is 64.,64,64,True,True
What's 2+8+5+10+10+5+9+9+3+4+9+8+3+2?,87,87,87,True,False
What's 8+7+6+2+8+2+5+2+6+2?,The sum of 8+7+6+2+8+2+5+2+6+2 is 48.,48,48,True,True
What's 9+7+3+3+7+4+5+5+9+5?,48,48,57,False,False
What's 1+5+9+6+5+9+4+7+5+5+1?,The sum of 1+5+9+6+5+9+4+7+5+5+1 is 57.,57,57,True,True
What's 3+6+2+7+4+4+5+8+5+4?,48,48,48,True,False
What's 8+9+10+9+5+3+10+3+5+2+1?,The sum of those numbers is 65.,65,65,True,True
What's 9+10+5+5+1+9+5+3+2+6+10+7+9?,81,81,81,True,False
What's 4+1+4+6+7+7+1+4+8+5+5?,The sum of 4+1+4+6+7+7+1+4+8+5+5 is 48.,48,52,False,True
What's 1+7+2+2+5+7+10+9+8+9+9+4?,73,73,73,True,False
What's 1+2+8+6+5+4+10+4+9+10+2+6+2?,The sum of those numbers is 69.,69,69,True,True
What's 5+4+6+1+10+6+4+10+6+8?,The sum of 5+4+6+1+10+6+4+10+6+8 is 60.,60,60,True,False
What's 9+10+3+3+8+6+4+7+7+3+1+4+4+3?,The sum of 9+10+3+3+8+6+4+7+7+3+1+4+4+3 is 72.,72,72,True,True
What's 7+10+2+7+2+2+8+2+3+3+7+3+8+6+1?,62,62,71,False,False
What's 2+1+4+2+7+10+9+5+4+2?,The sum of 2+1+4+2+7+10+9+5+4+2 is 46.,46,46,True,True
What's 4+4+7+4+9+10+4+3+4+10?,59,59,59,True,False
What's 6+7+9+2+9+9+8+10+7+6+6?,The sum of 6+7+9+2+9+9+8+10+7+6+6 is 79.,79,79,True,True
What's 4+5+5+3+9+8+7+4+3+1?,49,49,49,True,False
What's 6+6+1+10+6+7+1+8+1+8+3+1+8+7?,The sum of 6+6+1+10+6+7+1+8+1+8+3+1+8+7 is 73.,73,73,True,True
What's 2+4+7+7+1+8+9+5+6+8+7+8+1?,74,74,73,False,False
What's 7+10+2+7+4+5+5+10+1+9+5+2+6?,The sum of those numbers is 73.,73,73,True,True
What's 2+10+4+7+7+6+5+10+9+6+1+7+2+6?,82,82,82,True,False
What's 10+1+2+5+7+4+5+5+5+8+6?,The sum of 10+1+2+5+7+4+5+5+5+8+6 is 58.,58,58,True,True
What's 9+5+10+5+6+7+5+5+4+4?,The sum of 9+5+10+5+6+7+5+5+4+4 is 60.,60,60,True,False
What's 4+8+1+10+8+1+5+9+3+6?,The sum of 4+8+1+10+8+1+5+9+3+6 is 55.,55,55,True,True
What's 5+3+2+4+10+2+3+10+4+1+10?,54,54,54,True,False
What's 9+3+10+1+6+8+6+1+7+6+8+1?,The sum of 9+3+10+1+6+8+6+1+7+6+8+1 is 66.,66,66,True,True
What's 3+3+5+7+5+7+7+6+5+8+7+8?,69,69,71,False,False
What's 3+3+5+9+10+4+5+7+2+2+1+1+8?,The sum of those numbers is 60.,60,60,True,True
What's 9+2+2+7+10+1+4+8+6+8?,47,47,57,False,False
What's 1+3+8+7+1+7+1+5+7+8+5+1+7+8?,The sum of the numbers you provided is 71.,71,69,False,True
What's 4+2+2+7+4+9+1+6+6+5+4+9+4+4?,62,62,67,False,False
What's 5+8+10+1+7+1+3+5+1+10?,The sum of 5+8+10+1+7+1+3+5+1+10 is 51.,51,51,True,True
What's 4+7+4+1+8+6+2+5+3+5+9+1+3?,58,58,58,True,False
What's 2+6+7+6+6+9+7+5+2+10+6+9+3?,The sum of those numbers is 78.,78,78,True,True
What's 6+8+1+3+6+5+8+2+1+7?,47,47,47,True,False
What's 4+5+2+10+5+8+3+8+8+2+6+8+4?,The sum of those numbers is 73.,73,73,True,True
What's 8+2+9+2+3+6+3+8+9+2+7+3+8+10+9?,91,91,89,False,False
What's 4+3+10+10+9+6+4+4+7+8+8+9?,The sum of those numbers is 82.,82,82,True,True
What's 6+2+6+4+10+8+9+3+8+7?,63,63,63,True,False
What's 4+8+7+2+9+5+9+3+4+4+7?,The sum of 4+8+7+2+9+5+9+3+4+4+7 is 62.,62,62,True,True
What's 3+4+9+10+2+4+3+10+7+1+1+2+4?,60,60,60,True,False
What's 9+2+1+6+8+2+3+10+7+1+6+9+10+9+10?,The sum of those numbers is 93.,93,93,True,True
What's 10+3+6+1+8+7+3+2+10+4+5?,59,59,59,True,False
What's 4+5+3+7+6+7+10+2+7+3+10+4+7+8?,The sum of those numbers is 85.,85,83,False,True
What's 5+10+5+5+5+6+1+1+8+8?,54,54,54,True,False
What's 3+8+3+8+8+7+6+9+3+4+4+8+2?,The sum of those numbers is 75.,75,73,False,True
What's 1+7+7+9+6+3+4+2+7+5+10+10+4?,75,75,75,True,False
What's 9+2+10+4+1+4+6+3+9+5+5+4?,The sum of 9+2+10+4+1+4+6+3+9+5+5+4 is 62.,62,62,True,True
What's 2+3+6+5+1+8+9+1+3+10+7+9+1+3+5?,74,74,73,False,False
What's 6+10+1+7+2+10+7+5+6+10+7+1?,The sum of 6+10+1+7+2+10+7+5+6+10+7+1 is 72.,72,72,True,True
What's 3+10+5+7+8+5+5+8+10+6+6+7+7+5+9?,96,96,101,False,False
What's 9+7+3+7+5+7+9+10+2+5?,The sum of 9+7+3+7+5+7+9+10+2+5 is 64.,64,64,True,True
What's 10+9+1+5+1+5+4+1+5+2?,44,44,43,False,False
What's 1+10+8+5+2+8+3+5+4+1+6?,The sum of 1+10+8+5+2+8+3+5+4+1+6 is 53.,53,53,True,True
What's 8+7+5+9+4+4+5+8+6+5+10+5+9+4?,98,98,89,False,False
What's 2+9+6+3+7+2+7+5+4+10+1+3?,The sum of those numbers is 59.,59,59,True,True
What's 7+7+1+8+5+1+10+9+7+1+10+2+8+4?,73,73,80,False,False
What's 7+2+10+5+1+10+3+1+8+8+1+9+8+1?,The sum of 7+2+10+5+1+10+3+1+8+8+1+9+8+1 is 74.,74,74,True,True
What's 3+1+6+9+1+4+4+4+8+9?,49,49,49,True,False
What's 2+9+8+4+6+3+9+9+4+10+6+2?,The sum of those numbers is 72.,72,72,True,True
What's 3+5+6+4+4+9+9+2+8+6+5+2+4+1+6?,74,74,74,True,False
What's 3+3+1+6+7+4+1+7+8+4+2+1+9+3?,The sum of those numbers is 59.,59,59,True,True
What's 5+6+5+8+5+7+2+2+6+1+10+2?,59,59,59,True,False
What's 1+1+7+2+9+7+2+2+6+1+9+6+4+2+2?,The sum of all those numbers is 60.,60,61,False,True
What's 1+10+3+6+6+1+2+1+8+2+10+8+7+5?,60,60,70,False,False
What's 6+5+9+3+5+4+7+10+7+8?,The sum of 6+5+9+3+5+4+7+10+7+8 is 64.,64,64,True,True
What's 8+2+10+1+1+9+9+2+9+10+1+4+7?,73,73,73,True,False
What's 7+3+7+5+9+10+5+5+4+7+4+9+5+4?,The sum of those numbers is 89.,89,84,False,True
What's 1+9+4+10+3+6+4+3+8+8+8+7?,71,71,71,True,False
What's 6+8+9+1+9+10+7+1+3+5+4+6+10?,The sum of those numbers is 79.,79,79,True,True
What's 4+3+6+1+8+1+1+8+10+8+3?,53,53,53,True,False
What's 8+4+8+6+8+4+8+1+7+10+5+3+10+1?,The sum of those numbers is 83.,83,83,True,True
What's 9+3+1+5+1+3+7+9+3+4+1+4+6+7?,63,63,63,True,False
What's 1+1+3+7+1+3+6+10+5+7+6+10?,The sum of those numbers is 60.,60,60,True,True
What's 8+4+2+4+3+9+2+4+10+6+4+3+1?,58,58,60,False,False
What's 2+6+5+9+5+5+2+10+8+1+4+7?,The sum of those numbers is 64.,64,64,True,True
What's 10+3+6+6+9+3+2+4+4+6+9+5+1+1+1?,70,70,70,True,False
What's 2+3+10+2+2+8+4+2+2+5+2+4+8+6+2?,The sum of those numbers is 60.,60,62,False,True
What's 7+7+4+3+9+1+7+9+1+5+3+5+10+10+9?,92,92,90,False,False
What's 5+1+6+9+4+2+1+1+4+6?,The sum of 5+1+6+9+4+2+1+1+4+6 is 39.,39,39,True,True
What's 8+7+8+2+1+1+8+1+3+6?,45,45,45,True,False
What's 3+4+2+6+3+8+2+8+10+1+4?,The sum of 3+4+2+6+3+8+2+8+10+1+4 is 51.,51,51,True,True
What's 9+2+9+10+9+3+9+1+4+10?,66,66,66,True,False
What's 5+3+4+7+10+5+10+2+8+2?,The sum of 5+3+4+7+10+5+10+2+8+2 is 56.,56,56,True,True
What's 7+6+6+6+4+2+3+5+7+8?,54,54,54,True,False
What's 5+2+5+8+9+5+4+2+4+4+2+8?,The sum of 5+2+5+8+9+5+4+2+4+4+2+8 is 58.,58,58,True,True
What's 3+6+7+10+5+10+10+6+2+7+8+7?,81,81,81,True,False
What's 2+1+4+5+6+7+10+2+6+8+5+5+6?,The sum of those numbers is 67.,67,67,True,True
What's 10+8+2+2+4+3+7+6+3+9+3?,57,57,57,True,False
What's 6+4+1+10+1+4+1+8+1+1+7+6+3?,The sum of 6+4+1+10+1+4+1+8+1+1+7+6+3 is 53.,53,53,True,True
What's 6+10+10+6+8+2+9+4+4+7+8+3?,77,77,77,True,False
What's 10+2+5+1+7+2+7+10+2+6+7+1+3?,The sum of 10+2+5+1+7+2+7+10+2+6+7+1+3 is 63.,63,63,True,True
What's 7+4+5+10+5+6+2+4+9+8+6+6?,72,72,72,True,False
What's 3+1+4+8+8+10+8+2+6+1+2+8+5+6+2?,The sum of those numbers is 74.,74,74,True,True
What's 10+5+5+10+4+5+4+5+3+2+6+6+10?,70,70,75,False,False
What's 2+10+7+2+3+7+7+3+9+9+4+2?,The sum of those numbers is 65.,65,65,True,True
What's 8+2+5+9+2+9+7+9+6+1+10+1+6?,75,75,75,True,False
What's 6+3+4+3+2+6+1+8+2+1+7+10+8+7?,The sum of 6+3+4+3+2+6+1+8+2+1+7+10+8+7 is 68.,68,68,True,True
What's 2+2+8+10+5+4+8+3+10+7+6?,The sum of 2+2+8+10+5+4+8+3+10+7+6 is 65.,65,65,True,False
What's 8+5+9+2+6+1+5+6+4+9+4+10?,The sum of 8+5+9+2+6+1+5+6+4+9+4+10 is 69.,69,69,True,True
What's 4+2+3+6+4+6+10+8+3+6?,46,46,52,False,False
What's 10+5+6+4+6+7+7+4+5+6+7+6?,The sum of 10+5+6+4+6+7+7+4+5+6+7+6 is 73.,73,73,True,True
What's 9+5+8+2+1+8+10+4+3+8+7+2+5?,72,72,72,True,False
What's 6+10+5+1+1+10+9+6+2+7+9+6+5+1?,The sum of the numbers you provided is 78.,78,78,True,True
What's 9+2+1+6+2+4+5+5+6+2+2?,44,44,44,True,False
What's 2+10+5+8+7+7+3+7+2+10+6?,The sum of those numbers is 67.,67,67,True,True
What's 8+3+10+8+6+6+6+3+3+3+1?,57,57,57,True,False
What's 4+6+2+6+10+5+8+9+4+10+7+10+4+4?,The sum of those numbers is 89.,89,89,True,True
What's 8+7+9+8+2+7+4+10+6+8+4+6+5?,84,84,84,True,False
What's 8+9+9+5+10+7+10+8+3+1+10+10+1+10?,The sum of all those numbers is 101.,101,101,True,True
What's 10+4+10+9+9+4+4+8+9+10+6+2+1?,86,86,86,True,False
What's 1+8+8+8+9+10+6+2+4+6+4+1+4+5+8?,The sum of those numbers is 78.,78,84,False,True
What's 3+2+9+9+4+6+9+2+2+1+5?,52,52,52,True,False
What's 6+7+6+10+4+3+5+3+7+2+10+2+6?,The sum of those numbers is 71.,71,71,True,True
What's 7+1+5+7+6+5+7+2+10+8+1+5?,65,65,64,False,False
What's 7+3+2+2+7+5+3+2+10+6+6+1+10+8?,The sum of those numbers is 70.,70,72,False,True
What's 5+1+8+9+2+6+2+8+9+4+10+9?,73,73,73,True,False
What's 8+8+7+2+10+7+6+5+3+6+3+6+1+8?,The sum of those numbers is 80.,80,80,True,True
What's 6+6+3+10+2+10+7+6+8+4+7+2+5?,76,76,76,True,False
What's 6+10+3+7+8+4+7+7+7+7+3+1?,The sum of 6+10+3+7+8+4+7+7+7+7+3+1 is 70.,70,70,True,True
What's 4+2+2+1+4+3+8+10+3+5+2?,44,44,44,True,False
What's 3+10+2+4+8+2+1+3+10+9+10+7+2+3+6?,The sum of the numbers you provided is 80.,80,80,True,True
What's 4+1+5+8+3+10+3+4+1+3+9+5+1+7+5?,70,70,69,False,False
What's 7+1+3+9+8+1+7+6+1+5+10?,The sum of those numbers is 58.,58,58,True,True
What's 10+2+3+9+3+3+6+9+2+5+7+9+10+7+9?,96,96,94,False,False
What's 5+5+10+9+3+2+1+4+4+6+7+6+6+10+8?,The sum of all those numbers is 86.,86,86,True,True
What's 8+3+3+10+3+6+2+5+1+3+4?,48,48,48,True,False
What's 3+6+3+6+7+9+8+1+3+2+9+1?,The sum of 3+6+3+6+7+9+8+1+3+2+9+1 is 58.,58,58,True,True
What's 3+3+1+2+2+5+2+1+2+4+7+6+7?,45,45,45,True,False
What's 10+8+6+10+1+4+10+7+5+3+8+7?,The sum of 10+8+6+10+1+4+10+7+5+3+8+7 is 79.,79,79,True,True
What's 1+8+8+1+5+5+4+10+8+1+4+6+9?,70,70,70,True,False
What's 8+9+3+10+4+7+4+7+5+7+6+6+1+3?,The sum of 8+9+3+10+4+7+4+7+5+7+6+6+1+3 is 80.,80,80,True,True
What's 3+2+4+10+3+8+6+1+1+3+6+8+2?,57,57,57,True,False
What's 4+6+10+9+3+6+2+9+1+10+10?,The sum of those numbers is 60.,60,70,False,True
What's 8+2+8+6+10+10+8+10+9+9+3+8+3+2+7?,103,103,103,True,False
What's 9+7+5+2+6+6+4+3+3+7+4+7+3+7?,The sum of those numbers is 73.,73,73,True,True
What's 2+10+6+5+1+4+5+3+9+5+5+7+3+7+6?,78,78,78,True,False
What's 2+10+5+1+6+9+4+9+10+5+10+2?,The sum of those numbers is 63.,63,73,False,True
What's 4+5+3+1+9+3+3+3+4+5+4+1+5+3+7?,60,60,60,True,False
What's 4+6+9+3+2+5+3+9+4+6?,The sum of 4+6+9+3+2+5+3+9+4+6 is 51.,51,51,True,True
What's 10+4+3+7+4+6+1+10+3+1+3+6+2+10+8?,75,75,78,False,False
What's 4+5+9+10+2+8+8+3+5+1?,The sum of 4+5+9+10+2+8+8+3+5+1 is 55.,55,55,True,True
What's 9+2+2+6+3+5+3+2+9+9+3+10+2?,65,65,65,True,False
What's 9+9+10+6+8+4+8+4+7+4+4+5+5+9+10?,The sum of those numbers is 98.,98,102,False,True
What's 10+5+8+5+10+9+3+7+3+4+3+9+8?,84,84,84,True,False
What's 2+6+3+2+9+8+4+10+1+7+7+6+9+3+7?,The sum of all those numbers is 84.,84,84,True,True
What's 1+1+2+3+7+1+1+4+6+6+9?,41,41,41,True,False
What's 3+8+8+4+8+5+9+6+3+6+8+2+3+3?,The sum of 3+8+8+4+8+5+9+6+3+6+8+2+3+3 is 76.,76,76,True,True
What's 9+2+4+9+8+5+8+10+8+3+9+3+6+9?,The sum of 9+2+4+9+8+5+8+10+8+3+9+3+6+9 is 93.,93,93,True,False
What's 6+8+10+7+7+8+7+2+10+9+8?,The sum of 6+8+10+7+7+8+7+2+10+9+8 is 82.,82,82,True,True
What's 9+10+10+10+6+5+9+10+8+1+9+9+1+5?,102,102,102,True,False
What's 4+5+2+3+1+9+10+9+7+10+1+7+10+4?,The sum of those numbers is 82.,82,82,True,True
What's 7+1+1+4+2+4+7+6+1+3+9+7+10?,62,62,62,True,False
What's 2+6+9+1+8+7+5+10+8+3+3+9?,The sum of 2+6+9+1+8+7+5+10+8+3+3+9 is 71.,71,71,True,True
What's 10+6+1+2+8+5+6+2+10+9+8+1+3+7+4?,82,82,82,True,False
What's 6+1+6+8+10+8+4+6+2+2?,The sum of 6+1+6+8+10+8+4+6+2+2 is 53.,53,53,True,True
What's 2+9+7+4+9+6+10+2+1+1+2+2+4+7?,66,66,66,True,False
What's 5+10+9+2+8+4+9+2+1+6+2+8+1+9?,The sum of those numbers is 76.,76,76,True,True
What's 8+3+2+3+1+4+8+2+9+3+1?,44,44,44,True,False
What's 2+6+7+6+8+9+8+6+3+4+6+8+10?,The sum of those numbers is 83.,83,83,True,True
What's 4+8+6+3+6+4+6+6+9+5?,51,51,57,False,False
What's 9+5+5+3+9+6+4+1+2+7+10+2+3?,The sum of those numbers is 66.,66,66,True,True
What's 1+8+4+2+10+7+6+7+1+4+3?,53,53,53,True,False
What's 7+6+6+2+7+9+3+4+4+3+6+9+5+6+10?,The sum of those numbers is 87.,87,87,True,True
What's 8+7+10+8+8+8+9+3+3+2+3+5?,74,74,74,True,False
What's 5+5+3+3+10+1+6+6+10+7+6+2+3+4?,The sum of those numbers is 66.,66,71,False,True
What's 6+8+3+9+1+3+8+4+2+4+5+10+4+3?,70,70,70,True,False
What's 4+6+1+3+8+6+3+1+8+9+7+5+2+2?,The sum of those numbers is 65.,65,65,True,True
What's 6+10+10+1+4+2+4+3+4+1?,45,45,45,True,False
What's 5+5+10+7+8+3+7+9+1+5+1+8+4+5?,The sum of those numbers is 83.,83,78,False,True
What's 6+8+7+8+8+7+5+8+7+8?,72,72,72,True,False
What's 10+6+6+8+6+5+3+3+1+4+3?,The sum of those numbers is 55.,55,55,True,True
What's 4+9+6+9+10+7+3+6+4+2+3+9+2+6?,82,82,80,False,False
What's 6+5+5+1+4+1+2+10+5+5+2+1+4+7?,The sum of those numbers is 58.,58,58,True,True
What's 9+10+6+5+3+7+8+8+5+3+9+4+3+2?,82,82,82,True,False
What's 7+1+9+5+9+8+3+9+8+5+5+6+8+3+8?,The sum of 7+1+9+5+9+8+3+9+8+5+5+6+8+3+8 is 94.,94,94,True,True
What's 6+6+5+8+7+10+10+3+9+9+2?,75,75,75,True,False
What's 1+9+4+3+3+5+1+2+8+3+5+2+4+4?,The sum of 1+9+4+3+3+5+1+2+8+3+5+2+4+4 is 54.,54,54,True,True
What's 5+8+5+7+10+3+4+7+4+8+6?,67,67,67,True,False
What's 1+7+3+10+2+6+9+3+5+10+6+10?,The sum of those numbers is 72.,72,72,True,True
What's 9+2+6+1+4+2+8+5+10+7+5?,59,59,59,True,False
What's 2+8+10+1+8+5+1+1+7+9+2+2+1+10+7?,The sum of 2+8+10+1+8+5+1+1+7+9+2+2+1+10+7 is 74.,74,74,True,True
What's 10+4+3+1+2+9+10+10+4+9?,52,52,62,False,False
What's 5+7+10+8+3+1+9+3+2+6+5+9+5+5?,The sum of the numbers you provided is 78.,78,78,True,True
What's 9+3+4+10+2+9+6+2+7+3?,55,55,55,True,False
What's 1+3+6+5+9+10+5+3+2+9?,The sum of those numbers is 53.,53,53,True,True
What's 3+9+5+7+2+6+7+1+8+10+7+5+2?,The sum of 3+9+5+7+2+6+7+1+8+10+7+5+2 is 72.,72,72,True,False
What's 8+3+3+8+5+1+9+1+10+9+10+2+3+3?,The sum of 8+3+3+8+5+1+9+1+10+9+10+2+3+3 is 65.,65,75,False,True
What's 3+5+7+2+2+10+8+5+2+6+10+2?,60,60,62,False,False
What's 2+4+3+9+4+8+2+5+4+5?,The sum of 2+4+3+9+4+8+2+5+4+5 is 46.,46,46,True,True
What's 9+5+6+2+1+9+5+8+6+9+10+8+4+1+4?,87,87,87,True,False
What's 9+2+9+3+3+1+7+2+6+1+2?,The sum of 9+2+9+3+3+1+7+2+6+1+2 is 45.,45,45,True,True
What's 10+5+6+4+6+7+7+7+5+9?,56,56,66,False,False
What's 8+10+3+1+7+10+9+9+7+2+10+4+9+8+9?,The sum of those numbers is 98.,98,106,False,True
What's 4+6+4+5+2+9+8+1+3+8?,The sum of 4+6+4+5+2+9+8+1+3+8 is 50.,50,50,True,False
What's 1+7+10+2+4+7+10+3+2+4+2+7+9?,The sum of the numbers you provided is 68.,68,68,True,True
